seq,time,x,y
1,3.5799996419999998,-0.07469761371612549,0.01902065984904766
2,3.659999634,-0.27471232414245605,0.00327097624540329
3,3.749999625,-0.5001128911972046,0.002047065645456314
4,3.8499996149999998,-0.749450147151947,0.027403168380260468
5,3.889999611,-0.8499072194099426,0.0305329542607069
6,3.89999961,-0.8750431537628174,0.029948309063911438
7,3.9399996059999998,-0.9752994179725647,0.02200624719262123
8,3.949999605,-1.0002202987670898,0.018595241010189056
9,3.9699996029999998,-1.0496487617492676,0.010097876191139221
10,3.979999602,-1.0742549896240234,0.005658328533172607
11,3.989999601,-1.098876953125,0.0013052001595497131
12,3.9999995999999998,-1.1235108375549316,-0.0029608383774757385
13,4.039999596,-1.2221102714538574,-0.019654035568237305
14,4.049999595,-1.2467756271362305,-0.02373504638671875
15,4.059999594,-1.271446943283081,-0.027779117226600647
16,4.069999593,-1.296123743057251,-0.031786128878593445
17,4.079999592,-1.3208019733428955,-0.03578527271747589
18,4.089999591,-1.3454813957214355,-0.039777740836143494
19,4.09999959,-1.3701567649841309,-0.0437953919172287
20,4.139999586,-1.4688163995742798,-0.060120753943920135
21,4.179999582,-1.5674045085906982,-0.07689379900693893
22,4.189999581,-1.5920292139053345,-0.08122064918279648
23,4.249999575,-1.7394747734069824,-0.10889275372028351
24,4.329999567,-1.9349937438964844,-0.15117956697940826
25,4.39999956,-2.104555130004883,-0.19474048912525177
26,4.439999556,-2.2004554271698,-0.22337524592876434
27,4.449999555,-2.2242684364318848,-0.23106549680233002
28,4.479999552,-2.295271873474121,-0.2554644048213959
29,4.489999551,-2.318779945373535,-0.26405054330825806
30,4.539999546,-2.434993267059326,-0.31045466661453247
31,4.549999545,-2.4579479694366455,-0.3204330801963806
32,4.569999543,-2.5035505294799805,-0.34107962250709534
33,4.579999542,-2.526193857192993,-0.3517455458641052
34,4.589999541,-2.5487289428710938,-0.36263859272003174
35,4.59999954,-2.5711545944213867,-0.373757928609848
36,4.629999537,-2.6377289295196533,-0.40849268436431885
37,4.639999536,-2.6596779823303223,-0.42052581906318665
38,4.669999533,-2.724764823913574,-0.45797568559646606
39,4.679999532,-2.74619722366333,-0.4709082841873169
40,4.69999953,-2.7886576652526855,-0.4973953366279602
41,4.729999527,-2.8514623641967773,-0.5385090112686157
42,4.739999526,-2.872154951095581,-0.5525782108306885
43,4.749999525,-2.8927242755889893,-0.5668278932571411
44,4.829999517,-3.0525684356689453,-0.6872638463973999
45,4.839999516,-3.0719497203826904,-0.7030836343765259
46,4.869999513,-3.129361867904663,-0.7513977289199829
47,4.879999512,-3.1483001708984375,-0.7677321434020996
48,4.889999511,-3.167145252227783,-0.7841745018959045
49,4.89999951,-3.1858904361724854,-0.8007194995880127
50,4.939999506,-3.260399103164673,-0.8674299120903015
51,4.979999502,-3.334186315536499,-0.9349308013916016
52,4.989999501,-3.3525872230529785,-0.9518543481826782
53,5.019999498,-3.407790422439575,-1.0026264190673828
54,5.029999497,-3.4262313842773438,-1.0195074081420898
55,5.039999496,-3.444697141647339,-1.0363609790802002
56,5.069999493,-3.5003676414489746,-1.0866367816925049
57,5.079999492,-3.519050359725952,-1.1032549142837524
58,5.089999491,-3.5377960205078125,-1.1198022365570068
59,5.09999949,-3.55662202835083,-1.136293888092041
60,5.179999482,-3.7127976417541504,-1.2615060806274414
61,5.359999464,-4.103276252746582,-1.4848220348358154
62,5.429999457,-4.268712520599365,-1.543012022972107
63,5.569999443,-4.612809658050537,-1.6083552837371826
64,5.719999428,-4.987927436828613,-1.6105964183807373
65,5.849999415,-5.309741497039795,-1.563645601272583
66,6.049999395,-5.779043674468994,-1.3922821283340454
67,6.149999385,-5.994209289550781,-1.2644736766815186
68,6.259999374,-6.212545871734619,-1.0969297885894775
69,6.309999369,-6.305089950561523,-1.012702465057373
70,6.379999362,-6.4274492263793945,-0.8873578310012817
71,6.439999356,-6.525270938873291,-0.7734520435333252
72,6.479999352,-6.586820602416992,-0.6945232152938843
73,6.489999351,-6.601759433746338,-0.6744471788406372
74,6.49999935,-6.616515159606934,-0.654236376285553
75,6.529999347,-6.659693717956543,-0.5928332209587097
76,6.539999346,-6.673727989196777,-0.5721171498298645
77,6.589999341,-6.7411932945251465,-0.46677494049072266
78,6.59999934,-6.7541608810424805,-0.4453781247138977
79,6.639999336,-6.804305076599121,-0.358778715133667
80,6.649999335,-6.816411972045898,-0.33688482642173767
81,6.6799993319999995,-6.851696014404297,-0.2706456184387207
82,6.689999331,-6.863118648529053,-0.24838867783546448
83,6.69999933,-6.874371528625488,-0.22604557871818542
84,6.729999327,-6.907162666320801,-0.15855056047439575
85,6.7399993259999995,-6.917789459228516,-0.13590717315673828
86,6.769999323,-6.948760509490967,-0.06756022572517395
87,6.779999322,-6.958786487579346,-0.04464557766914368
88,6.789999321,-6.968664646148682,-0.021666526794433594
89,6.849999315,-7.025088787078857,0.11736905574798584
90,6.869999313,-7.042855262756348,0.16412562131881714
91,6.9199993079999995,-7.085219860076904,0.28175508975982666
92,6.929999307,-7.093389987945557,0.30538785457611084
93,6.939999306,-7.101461410522461,0.32905447483062744
94,6.969999303,-7.125119209289551,0.40023696422576904
95,6.9799993019999995,-7.132833957672119,0.42402082681655884
96,7.039999296,-7.177398681640625,0.5672656893730164
97,7.069999293,-7.1986236572265625,0.6392077803611755
98,7.079999292,-7.205557823181152,0.6632289886474609
99,7.09999929,-7.219238758087158,0.71132493019104
100,7.129999287,-7.23930025100708,0.7835973501205444
101,7.139999286,-7.2458696365356445,0.8077207803726196
102,7.239999276,-7.308918476104736,1.0496468544006348
103,7.39999926,-7.402003288269043,1.438666582107544
104,7.469999253,-7.44063138961792,1.6093506813049316
105,7.549999245,-7.484447956085205,1.8044917583465576
106,7.709999229,-7.570692539215088,2.1950864791870117
107,7.8199992179999995,-7.624972820281982,2.464688777923584
108,7.919999208,-7.6667304039001465,2.711198329925537
109,7.9999991999999995,-7.693942546844482,2.9093737602233887
110,8.109999189,-7.716269016265869,3.1835601329803467
111,8.209999179,-7.71748685836792,3.4336636066436768
112,8.279999172,-7.707022190093994,3.608452081680298
113,8.429999157,-7.648103713989258,3.9788706302642822
114,8.649999135,-7.4635114669799805,4.496485710144043
115,8.879999112,-7.156474590301514,4.981971740722656
116,9.069999093,-6.82112979888916,5.3181281089782715
117,9.269999073,-6.411409854888916,5.60449743270874
118,9.509999049,-5.8846001625061035,5.891604423522949
119,9.659999034,-5.577611923217773,6.107985973358154
120,9.749999025,-5.445613384246826,6.2924299240112305
121,9.859999014,-5.3438005447387695,6.5485334396362305
122,10.079998992,-5.219545841217041,7.083971977233887
123,10.29999897,-5.168544292449951,7.6315693855285645
124,10.429998957,-5.141805171966553,7.955515384674072
125,10.719998928,-4.951426982879639,8.652663230895996
126,10.869998913,-4.915987968444824,8.719854354858398
127,11.069998893,-4.588207721710205,9.027566909790039
128,11.169998883,-4.376185417175293,9.160547256469727
129,11.249998875,-4.196252822875977,9.248428344726562
130,11.309998869,-4.056367874145508,9.303138732910156
131,11.39999886,-3.840489625930786,9.367340087890625
132,11.419998858,-3.791750907897949,9.378767967224121
133,11.439998856,-3.7427902221679688,9.389202117919922
134,11.449998855,-3.7182371616363525,9.394043922424316
135,11.49999885,-3.594845771789551,9.41476821899414
136,11.539998846,-3.495514392852783,9.427141189575195
137,11.549998845,-3.470616579055786,9.429647445678711
138,11.569998843,-3.4207611083984375,9.43398666381836
139,11.579998842,-3.395808696746826,9.435834884643555
140,11.589998841,-3.3708419799804688,9.437474250793457
141,11.639998836,-3.245875358581543,9.442723274230957
142,11.649998835,-3.2208633422851562,9.443203926086426
143,11.79999882,-2.846060037612915,9.429960250854492
144,11.9999988,-2.3501815795898438,9.366230010986328
145,12.079998792,-2.1529605388641357,9.332992553710938
146,12.259998774,-1.703453779220581,9.331568717956543
147,12.369998763,-1.4400253295898438,9.411763191223145
148,12.59999874,-0.9068237543106079,9.626595497131348
149,12.759998724,-0.5491384267807007,9.805665016174316
150,12.949998705,-0.13312506675720215,10.034955024719238
151,13.139998686,0.29007017612457275,10.250664710998535
152,13.369998663,0.8258275985717773,10.458854675292969
153,13.519998648,1.1912405490875244,10.54340648651123
154,13.79999862,1.8896265029907227,10.55734920501709
155,13.949998605,2.257084369659424,10.482043266296387
156,14.049998595,2.493866443634033,10.401286125183105
157,14.129998587,2.677173614501953,10.320928573608398
158,14.169998583,2.7666218280792236,10.27607536315918
159,14.229998577,2.9003000259399414,10.207162857055664
160,14.279998572,3.016507625579834,10.159754753112793
161,14.359998564,3.2107861042022705,10.108999252319336
162,14.49999855,3.5577454566955566,10.060941696166992
163,14.549998545,3.6812100410461426,10.0413818359375
164,14.579998542,3.7552037239074707,10.029129028320312
165,14.589998541,3.7798573970794678,10.024978637695312
166,14.59999854,3.804506778717041,10.020803451538086
167,14.649998535,3.9277021884918213,9.999638557434082
168,14.689998531,4.026210784912109,9.982433319091797
169,14.69999853,4.050834655761719,9.978110313415527
170,14.739998526,4.149322509765625,9.960787773132324
171,14.749998525,4.173944473266602,9.956457138061523
172,14.769998523,4.223188400268555,9.947795867919922
173,14.789998521,4.27243709564209,9.939160346984863
174,14.79999852,4.297064304351807,9.934857368469238
175,14.829998517,4.370975494384766,9.922114372253418
176,14.839998516,4.3956217765808105,9.917922019958496
177,14.889998511,4.518927574157715,9.897398948669434
178,14.89999851,4.543603897094727,9.89338493347168
179,14.919998508,4.59296989440918,9.885444641113281
180,14.929998507,4.617661476135254,9.881525039672852
181,14.939998506,4.642358779907227,9.877641677856445
